num_leaves,max_depth,learning_rate,min_split_gain,reg_alpha,reg_lambda,seed,roc_auc
77,1,0.24412965128171393,0.0018883065216624242,0.45872839395110043,0.39383082052673396,2936,0.5881392282768395
2,14,0.1178642314612586,0.001401319837235664,0.23731781815559005,0.03293589292655596,2636,0.592232620632176
89,1,0.11249758577589228,0.031781584361531945,0.017839352833827152,0.3126121000444009,1213,0.5923137181208344
2,70,0.5,0.0011057047116939697,0.3611656776781287,0.3805372725645997,0,0.5815319491612163
2,90,0.27426973214333217,0.0005621367845829094,0.4751768237163126,0.2267027975895407,3200,0.5875418281621387
100,84,0.4456611258058364,0.09898622972867636,0.37940227077772326,0.18179882842559228,1512,0.5163282143984732
70,31,0.4824661510963588,0.17083615714643335,0.16019992964821891,0.09875522846635637,1092,0.5171565189654398
2,48,0.5,0.0008348169716835189,0.33803624432377016,0.13592835299885198,3200,0.5815036530424691
42,1,0.10601461978800618,0.0007766005140724159,0.13822368595912612,0.16410860078562056,3101,0.5925800942626303
29,23,0.10406952954880971,0.10153086232344169,0.4547327327329318,0.40298747180145966,1132,0.5526972564408195
99,24,0.10027277338762937,0.0669351865236238,0.38551749836015786,0.060546927818765264,2995,0.5467878354308565
39,34,0.49764520610885066,0.04808008980551672,0.3728425820882229,0.0620517009010032,31,0.5240855479672014
2,13,0.2323165699423561,0.19545528115327088,0.04921974646383045,0.21516091349564576,2963,0.5882404985965666
